TOTALS: 252 of 252,Registered voters,Ballots Cast,Turnout,Joseph R. Biden w/ Kamala D. Harris,Donald J. Trump w/ Michael R. Pence,Jo Jorgensen w/ Jeremy Cohen,Don Blankenship w/ William Mohr,Howie Hawkins w/ Angela Walker,Rocky De La Fuente w/ Darcy Richardson,Total write-in
Byron Township Precinct 3,"3,128","1,561",49.9%,743,772,27,4,9,1,2
Byron Township Precinct 4,"2,179","1,941",89.08%,434,"1,463",28,1,2,2,7
Byron Township Precinct 5,"2,618","2,264",86.48%,579,"1,615",40,1,2,0,10
Byron Township Precinct 6,"1,585","1,333",84.1%,471,829,20,2,3,4,1
Byron Township Precinct 7,"2,610","2,117",81.11%,746,"1,311",32,2,1,3,7
Byron Township Precinct 8,"2,407","2,002",83.17%,831,"1,124",23,2,2,1,9
Caledonia Charter Township Precinct 1,"1,286",994,77.29%,424,544,19,0,2,0,3
Caledonia Charter Township Precinct 2,"2,250","1,799",79.96%,624,"1,132",27,3,2,1,1
Caledonia Charter Township Precinct 3,"2,227","1,825",81.95%,576,"1,206",27,5,4,1,0
Caledonia Charter Township Precinct 4,"1,440","1,226",85.14%,371,829,15,1,0,0,3
Caledonia Charter Township Precinct 5,"2,691","2,192",81.46%,761,"1,378",26,2,5,3,6
Caledonia Charter Township Precinct 6,"2,131","1,701",79.82%,669,996,18,2,3,1,4
Cannon Township Precinct 1,"2,238","1,907",85.21%,742,"1,106",32,2,5,2,6
Cannon Township Precinct 2,"2,068","1,705",82.45%,610,"1,052",26,1,2,0,2
Cannon Township Precinct 3,"1,663","1,409",84.73%,579,789,26,0,1,1,1
Cannon Township Precinct 4,"2,515","2,113",84.02%,903,"1,153",27,3,4,0,8
Cannon Township Precinct 5,"1,649","1,363",82.66%,502,826,18,3,2,1,3
Cannon Township Precinct 6,"2,005","1,650",82.29%,643,961,22,7,4,1,3
Cascade Charter Township Precinct 1,"1,502","1,289",85.82%,591,670,13,0,2,0,1
Cascade Charter Township Precinct 2,"1,798","1,516",84.32%,718,765,15,0,3,0,5
Cascade Charter Township Precinct 3,"1,229","1,047",85.19%,474,543,11,1,3,3,4
Cascade Charter Township Precinct 4,"1,778","1,539",86.56%,785,715,26,0,2,1,7
Cascade Charter Township Precinct 5,"2,468","2,084",84.44%,910,"1,120",31,0,4,0,4
Cascade Charter Township Precinct 6,"1,602","1,338",83.52%,727,579,16,2,3,1,2
Cascade Charter Township Precinct 7,"1,413","1,074",76.01%,516,534,7,0,1,0,5
Cascade Charter Township Precinct 8,"1,390","1,207",86.83%,656,529,11,0,0,0,4
Cascade Charter Township Precinct 9,"1,469","1,263",85.98%,652,574,19,0,4,1,4
Cascade Charter Township Precinct 10,"1,432","1,221",85.27%,498,682,21,3,7,0,4
Cedar Springs City Precinct 1,"2,551","1,562",61.23%,558,956,30,6,2,1,6
Courtland Township Precinct 1,"2,216","1,854",83.66%,738,"1,073",24,1,5,1,4
Courtland Township Precinct 2,"2,502","2,069",82.69%,656,"1,362",31,5,5,1,5
Courtland Township Precinct 3,"2,485","2,031",81.73%,699,"1,294",23,2,3,2,3
East Grand Rapids City Ward 1 Precinct 1,"1,603","1,347",84.03%,889,433,13,1,1,0,4
East Grand Rapids City Ward 1 Precinct 2,"1,548","1,311",84.69%,812,459,12,2,2,2,12
East Grand Rapids City Ward 2 Precinct 3,"1,625","1,366",84.06%,886,447,14,2,0,0,3
East Grand Rapids City Ward 2 Precinct 4,"1,448","1,191",82.25%,794,368,19,0,2,0,3
East Grand Rapids City Ward 3 Precinct 5,"1,566","1,312",83.78%,916,357,24,1,3,0,4
East Grand Rapids City Ward 3 Precinct 6,"1,609","1,358",84.4%,956,354,16,1,3,0,14
Gaines Charter Township Precinct 1,"2,336","1,988",85.1%,564,"1,367",34,4,0,0,6
Gaines Charter Township Precinct 2,"1,777","1,423",80.08%,664,719,15,2,2,2,6
Gaines Charter Township Precinct 3,"2,317","1,604",69.23%,605,945,39,1,4,0,5
Gaines Charter Township Precinct 4,"3,272","1,642",50.18%,835,752,21,6,8,2,4
Gaines Charter Township Precinct 5,"2,159","1,318",61.05%,787,489,24,1,7,2,2
