Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Wah Wah Jones,1949,1,9,1950,1952,140.0,1320.0,521.0,1467.0,,,386.0,510.0,,408.0,429.0,,,,452.0,1428.0,.355,,.757,22.8,10.2,5.1,3.1
Winston Bennett,1988,3,64,1990,1992,136.0,2157.0,257.0,604.0,0.0,1.0,134.0,193.0,177.0,414.0,120.0,50.0,21.0,115.0,305.0,648.0,.425,.000,.694,15.9,4.8,3.0,0.9
Tyler Ulis,2016,2,34,2017,2019,133.0,2782.0,398.0,988.0,63.0,225.0,139.0,172.0,44.0,223.0,537.0,118.0,12.0,204.0,193.0,998.0,.403,.280,.808,20.9,7.5,1.7,4.0
Nick Richards,2020,2,42,2021,2023,133.0,1647.0,261.0,412.0,1.0,2.0,174.0,237.0,185.0,513.0,53.0,20.0,92.0,86.0,212.0,697.0,.633,.500,.734,12.4,5.2,3.9,0.4
Alex Groza,1949,1,2,1950,1951,130.0,,1013.0,2136.0,,,899.0,1189.0,,709.0,318.0,,,,458.0,2925.0,.474,,.756,,22.5,10.7,2.4
Ralph Beard,1949,1,10,1950,1951,126.0,,749.0,2046.0,,,508.0,660.0,,251.0,551.0,,,,228.0,2006.0,.366,,.770,,15.9,3.8,4.4
Doron Lamb,2012,2,42,2013,2014,100.0,1272.0,123.0,323.0,50.0,127.0,49.0,70.0,16.0,95.0,75.0,24.0,1.0,53.0,106.0,345.0,.381,.394,.700,12.7,3.5,1.0,0.8
Isaiah Jackson,2021,1,22,2022,2023,99.0,1583.0,295.0,524.0,7.0,30.0,155.0,234.0,173.0,431.0,61.0,56.0,145.0,91.0,246.0,752.0,.563,.233,.662,16.0,7.6,4.4,0.6
James Young,2014,1,17,2015,2018,95.0,812.0,77.0,210.0,38.0,137.0,27.0,48.0,19.0,96.0,28.0,24.0,5.0,15.0,58.0,219.0,.367,.277,.563,8.5,2.3,1.0,0.3
Marquis Teague,2012,1,29,2013,2018,91.0,909.0,85.0,248.0,10.0,45.0,37.0,56.0,5.0,90.0,134.0,23.0,12.0,77.0,98.0,217.0,.343,.222,.661,10.0,2.4,1.0,1.5
Cotton Nash,1964,2,14,1965,1968,84.0,1143.0,153.0,450.0,0.0,1.0,164.0,214.0,,273.0,65.0,,,49.0,120.0,470.0,.340,,.766,13.6,5.6,3.3,0.8
Bob Burrow,1956,2,9,1957,1958,81.0,1199.0,159.0,436.0,,,141.0,244.0,,357.0,47.0,,,,180.0,459.0,.365,,.578,14.8,5.7,4.4,0.6
Shaedon Sharpe,2022,1,7,2023,2023,80.0,1779.0,306.0,648.0,102.0,283.0,75.0,105.0,63.0,236.0,94.0,38.0,24.0,83.0,136.0,789.0,.472,.360,.714,22.2,9.9,3.0,1.2
Josh Harrellson,2011,2,45,2012,2014,75.0,888.0,105.0,240.0,33.0,95.0,22.0,35.0,80.0,227.0,26.0,30.0,36.0,33.0,96.0,265.0,.438,.347,.629,11.8,3.5,3.0,0.3
Brandon Boston Jr.,2021,2,51,2022,2023,73.0,1008.0,176.0,447.0,46.0,140.0,88.0,110.0,24.0,141.0,71.0,35.0,13.0,43.0,64.0,486.0,.394,.329,.800,13.8,6.7,1.9,1.0
Bobby Watson,1952,3,,1955,1955,63.0,702.0,72.0,223.0,,,31.0,45.0,,87.0,79.0,,,,67.0,175.0,.323,,.689,11.1,2.8,1.4,1.3
Daniel Orton,2010,1,29,2012,2014,51.0,542.0,50.0,103.0,0.0,1.0,43.0,72.0,48.0,126.0,24.0,18.0,28.0,29.0,81.0,143.0,.485,.000,.597,10.6,2.8,2.5,0.5
Jack Tingle,1947,2,,1948,1949,39.0,,37.0,143.0,,,17.0,33.0,,,8.0,,,,47.0,91.0,.259,,.515,,2.3,,0.2
TyTy Washington Jr.,2022,1,29,2023,2023,31.0,433.0,58.0,160.0,19.0,80.0,10.0,18.0,2.0,45.0,47.0,15.0,2.0,14.0,29.0,145.0,.363,.238,.556,14.0,4.7,1.5,1.5
